type: while                   	 character: while               
type: (                   	 character: (                   
type: id                   	 character: a3                  
type: +                   	 character: +                   
type: int10                   	 character: 15                  
type: )                   	 character: )                   
type: >                   	 character: >                   
type: int16                   	 character: 10                  
type: do                   	 character: do                  
type: if                   	 character: if                  
type: id                   	 character: x2                  
type: =                   	 character: =                   
type: int8                   	 character: 7                   
type: then                   	 character: then                
type: while                   	 character: while               
type: id                   	 character: y                   
type: <                   	 character: <                   
type: id                   	 character: z                   
type: do                   	 character: do                  
type: id                   	 character: y                   
type: =                   	 character: =                   
type: id                   	 character: x                   
type: *                   	 character: *                   
type: id                   	 character: y                   
type: /                   	 character: /                   
type: id                   	 character: z                   
type: else                   	 character: else                
type: id                   	 character: y                   
type: =                   	 character: =                   
type: id                   	 character: z                   
type: /                   	 character: /                   
type: id                   	 character: x                   
type: /                   	 character: /                   
type: id                   	 character: y                   
type: ;                   	 character: ;                   
type: id                   	 character: c                   
type: =                   	 character: =                   
type: id                   	 character: b                   
type: *                   	 character: *                   
type: id                   	 character: c                   
type: +                   	 character: +                   
type: id                   	 character: d                   
type: ;                   	 character: ;                   
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character: d                   
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character: y                   
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character: L0                  
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character: L3                  
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type: b                   	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type: L1                   	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                    
type:                    	 character:                     
type: 7                   	 character:                    
type:                    	 character:                     
type:                    	 character:                    
type:                    	 character: ÿÿ                  
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
type:                    	 character:                     
